"id","active","taxes_id/id","supplier_taxes_id/id","name","standard_price","list_price","default_code","description","attribute_line_ids/id","seller_qty","categ_id/id","company_id/id","create_date","create_uid/id","property_account_expense/id","property_account_income/id","ean13","description_purchase","description_sale","state","message_last_post","warranty","image","image_medium","image_small","message_ids/id","weight","weight_net","seller_delay","lst_price","product_variant_ids/id","seller_ids/id","seller_id/id","rental","sale_ok","product_manager/id","message_follower_ids/id","pricelist_id/id","mes_type","type","uom_id/id","uos_coeff","uom_po_id/id","uos_id/id","packaging_ids/id","volume","color","write_uid/id","write_date"
"__export__.product_template_22","True","__export__.account_tax_1","__export__.account_tax_2","Intel Core i5-8400 2.8Ghz BOX","","190.99","0010","Procesadores","","","product.product_category_all","base.main_company","2019-11-03 11:43:28","__export__.res_users_7","","","","","","","","","","","","__export__.mail_message_33","","","","190.99","__export__.product_product_12","","","False","True","","__export__.res_partner_8","","fixed","Consumible","product.product_uom_unit","1.0","product.product_uom_unit","","","","","__export__.res_users_7","2019-11-03 11:43:28"
"__export__.product_template_20","True","__export__.account_tax_1","__export__.account_tax_2","Intel Core i5-9700K 3.7Ghz","","220.99","0008","Procesadores","","","product.product_category_all","base.main_company","2019-11-03 11:41:02","__export__.res_users_7","","","","","","","","","","","","__export__.mail_message_29","","","","220.99","__export__.product_product_10","","","False","True","","__export__.res_partner_8","","fixed","Consumible","product.product_uom_unit","1.0","product.product_uom_unit","","","","","__export__.res_users_7","2019-11-03 11:41:02"
"__export__.product_template_19","True","__export__.account_tax_1","__export__.account_tax_2","Intel Core i7-9700K 3.6Ghz","","369.99","0007","Procesadores","","","product.product_category_all","base.main_company","2019-11-03 11:40:03","__export__.res_users_7","","","","","","","","","","","","__export__.mail_message_27","","","","369.99","__export__.product_product_9","","","False","True","","__export__.res_partner_8","","fixed","Consumible","product.product_uom_unit","1.0","product.product_uom_unit","","","","","__export__.res_users_7","2019-11-03 11:40:03"
"__export__.product_template_24","True","__export__.account_tax_1","__export__.account_tax_2","Kingston A400 SSD 120Gb","","20.99","0012","Discos Duros SSD","","","product.product_category_all","base.main_company","2019-11-03 11:50:04","__export__.res_users_7","","","","","","","","","","","","__export__.mail_message_37","","","","20.99","__export__.product_product_14","","","False","True","","__export__.res_partner_8","","fixed","Consumible","product.product_uom_unit","1.0","product.product_uom_unit","","","","","__export__.res_users_7","2019-11-03 11:50:04"
"__export__.product_template_23","True","__export__.account_tax_1","__export__.account_tax_2","Kingston A400 SSD 240BG","","32.99","0011","Discos Duros SSD","","","product.product_category_all","base.main_company","2019-11-03 11:44:27","__export__.res_users_7","","","","","","","","","","","","__export__.mail_message_35","","","","32.99","__export__.product_product_13","","","False","True","","__export__.res_partner_8","","fixed","Consumible","product.product_uom_unit","1.0","product.product_uom_unit","","","","","__export__.res_users_7","2019-11-03 11:44:27"
"__export__.product_template_25","True","__export__.account_tax_1","__export__.account_tax_2","Kingston A400 SSD 480 Gb","","52.74","0013","Discos Duros SSD","","","product.product_category_all","base.main_company","2019-11-03 11:54:28","__export__.res_users_7","","","","","","","","","","","","__export__.mail_message_39","","","","52.74","__export__.product_product_15","","","False","True","","__export__.res_partner_8","","fixed","Consumible","product.product_uom_unit","1.0","product.product_uom_unit","","","","","__export__.res_users_7","2019-11-03 11:54:28"
"__export__.product_template_35","True","__export__.account_tax_1","__export__.account_tax_2","Kingston HyperX Predator DDR4 3200 PC4-25600 16GB 2x8GB CL16","","91.95","0022","Memoria RAM","","","product.product_category_all","base.main_company","2019-11-03 12:22:44","__export__.res_users_7","","","","","","","","","","","","__export__.mail_message_59","","","","91.95","__export__.product_product_25","","","False","True","","__export__.res_partner_8","","fixed","Consumible","product.product_uom_unit","1.0","product.product_uom_unit","","","","","__export__.res_users_7","2019-11-03 12:22:44"
"__export__.product_template_63","True","__export__.account_tax_1","__export__.account_tax_2","LG 24MP59G-P 24"" LED Full HD IPS","","129.0","0050","Monitores","","","product.product_category_all","base.main_company","2019-11-03 13:03:15","__export__.res_users_7","","","","","","","","","","","","__export__.mail_message_115","","","","129.0","__export__.product_product_53","","","False","True","","__export__.res_partner_8","","fixed","Consumible","product.product_uom_unit","1.0","product.product_uom_unit","","","","","__export__.res_users_7","2019-11-03 13:03:15"
"__export__.product_template_57","True","__export__.account_tax_1","__export__.account_tax_2","Logitech Desktop MK120","","16.5","0044","Periféricos","","","product.product_category_all","base.main_company","2019-11-03 12:57:31","__export__.res_users_7","","","","","","","","","","","","__export__.mail_message_103","","","","16.5","__export__.product_product_47","","","False","True","","__export__.res_partner_8","","fixed","Consumible","product.product_uom_unit","1.0","product.product_uom_unit","","","","","__export__.res_users_7","2019-11-03 12:57:31"
"__export__.product_template_58","True","__export__.account_tax_1","__export__.account_tax_2","Logitech Keyboard K120 Teclado USB","","12.9","0045","Periféricos","","","product.product_category_all","base.main_company","2019-11-03 12:58:04","__export__.res_users_7","","","","","","","","","","","","__export__.mail_message_105","","","","12.9","__export__.product_product_48","","","False","True","","__export__.res_partner_8","","fixed","Consumible","product.product_uom_unit","1.0","product.product_uom_unit","","","","","__export__.res_users_7","2019-11-03 12:58:04"
